Product,Type,Date,Process_Size,TDP,Die_Size,Transistor,Freq,Foundry,Vendor,FP16,FP32,FP64
AMD Athlon 64 3500+,CPU,2/20/2007,65,45,77,122,2200,Unknown,AMD,,,
AMD Athlon 200GE,CPU,09/06/2018,14,35,192,4800,3200,Unknown,AMD,,,
Intel Core i5-1145G7,CPU,09/02/2020,10,28,188.4404446,1929.922279,2600,Intel,Intel,,,
Intel Xeon E5-2603 v2,CPU,09/01/2013,22,80,160,1400,1800,Intel,Intel,,,
AMD Phenom II X4 980 BE,CPU,05/03/2011,45,125,258,758,3700,Unknown,AMD,,,
Intel Xeon E5-2470 v2,CPU,09/01/2013,22,95,160,1400,2400,Intel,Intel,,,
AMD Phenom X4 9750 (125W),CPU,3/27/2008,65,125,285,450,2400,Unknown,AMD,,,
Intel Pentium D 930,CPU,1/16/2006,65,130,140,376,3000,Intel,Intel,,,
Intel Core i3-1125G4,CPU,09/02/2020,10,28,188.4404446,1929.922279,2000,Intel,Intel,,,
AMD Athlon 64 X2 4200+,CPU,5/23/2006,90,89,156,154,2200,Unknown,AMD,,,
AMD Sempron 2800+,CPU,08/01/2004,130,62,80,37,1992,Unknown,AMD,,,
Intel Core i7-3632QM,CPU,10/19/2012,22,35,160,1480,2200,Intel,Intel,,,
AMD C-70,CPU,09/01/2012,40,9,75,1929.922279,1000,Unknown,AMD,,,
Intel Core i5-8269U,CPU,04/05/2018,14,28,123,1929.922279,2600,Intel,Intel,,,
AMD Phenom X4 9600 BE,CPU,12/19/2007,65,95,285,450,2300,Unknown,AMD,,,
Intel Pentium 3560Y,CPU,09/01/2013,22,12,118,1400,1200,Intel,Intel,,,
AMD Turion X2 Ultra ZM-84,CPU,09/01/2008,65,35,188.4404446,1929.922279,2300,Unknown,AMD,,,
Intel Pentium 4 506,CPU,06/01/2005,90,84,109,125,2660,Intel,Intel,,,
Intel Xeon E5-2430 v2,CPU,09/01/2013,22,80,160,1400,2500,Intel,Intel,,,
AMD Athlon 64 X2 4800+,CPU,5/23/2006,90,110,199,233,2400,Unknown,AMD,,,
Intel Core i5-3427U,CPU,06/01/2012,22,17,118,1929.922279,1800,Intel,Intel,,,
AMD Opteron 148 HE,CPU,12/01/2004,90,55,188.4404446,106,2200,Unknown,AMD,,,
AMD Athlon 1100,CPU,8/14/2000,180,60,120,37,1100,Unknown,AMD,,,
Intel Core i7-975,CPU,06/02/2009,45,130,263,731,3333,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,01/01/2001,90,67,115,105,2200,Unknown,AMD,,,
Intel Pentium 4 HT 672,CPU,11/14/2005,90,84,109,169,3800,Intel,Intel,,,
Intel Pentium D 830,CPU,5/26/2005,90,130,206,169,3000,Intel,Intel,,,
AMD EPYC 7371,CPU,11/16/2018,14,170,213,4800,3100,GF,AMD,,,
Intel Pentium 4 HT 550,CPU,6/21/2004,90,115,109,125,3400,Intel,Intel,,,
Intel Pentium III 1266S,CPU,07/01/2001,130,30,80,44,1266,Intel,Intel,,,
AMD Sempron 140,CPU,7/22/2009,45,45,117,234,2700,Unknown,AMD,,,
AMD EPYC 7501,CPU,6/29/2017,14,170,213,4800,2000,GF,AMD,,,
Intel Atom E680,CPU,9/14/2010,45,4,26,47,1600,Intel,Intel,,,
Intel Xeon E5-2690 v2,CPU,09/01/2013,22,130,160,1400,3000,Intel,Intel,,,
Intel Xeon Platinum 8380,CPU,04/06/2021,10,270,188.4404446,1929.922279,2300,Intel,Intel,,,
Intel Xeon Phi 7120A,CPU,04/06/2014,22,300,350,5000,1238,Intel,Intel,,,
Intel Core i3-8020,CPU,09/01/2018,14,65,188.4404446,1929.922279,3700,Intel,Intel,,,
Intel Atom S1220,CPU,12/11/2012,32,8,188.4404446,1929.922279,1600,Intel,Intel,,,
AMD Phenom X4 9600,CPU,11/19/2007,65,95,285,450,2300,Unknown,AMD,,,
Intel Core i3-2330M,CPU,06/01/2011,32,35,149,624,2200,Intel,Intel,,,
AMD Opteron X2 180,CPU,9/26/2005,90,110,188.4404446,233,2400,Unknown,AMD,,,
AMD E2-3200,CPU,09/07/2011,32,65,228,1178,2400,Unknown,AMD,,,
AMD Turion 64 MT-34,CPU,03/10/2005,90,25,125,114,1800,Unknown,AMD,,,
Intel Pentium III  866,CPU,06/01/2001,180,38,80,44,866,Intel,Intel,,,
Intel Core 2 Quad Q9550S,CPU,1/27/2009,45,65,107,820,2833,Intel,Intel,,,
Intel Core i7-4500U,CPU,06/04/2013,22,15,118,1300,1800,Intel,Intel,,,
AMD Opteron X2 185,CPU,03/06/2006,90,110,188.4404446,233,2600,Unknown,AMD,,,
Intel Core i3-8300,CPU,2/14/2018,14,62,188.4404446,1929.922279,3700,Intel,Intel,,,
AMD Ryzen 5 1400,CPU,04/11/2017,14,65,192,4800,3200,GF,AMD,,,
AMD A4-3300M,CPU,6/14/2011,32,35,228,1178,1900,Unknown,AMD,,,
Intel Xeon 3.20,CPU,10/06/2003,130,97,237,286,3200,Intel,Intel,,,
AMD Opteron 848,CPU,12/01/2004,90,85,188.4404446,106,2200,Unknown,AMD,,,
Intel Core 2 Extreme QX6700,CPU,11/01/2006,65,130,143,582,2666,Intel,Intel,,,
Intel Pentium Gold G6405T,CPU,3/16/2021,14,35,188.4404446,1929.922279,3500,Intel,Intel,,,
AMD A6-3600,CPU,6/30/2011,32,65,228,1178,2100,Unknown,AMD,,,
Intel Xeon Phi 7120X,CPU,6/17/2013,22,300,350,5000,1238,Intel,Intel,,,
Intel Core i9-10900K,CPU,4/30/2020,14,125,206,1929.922279,3700,Intel,Intel,,,
Intel Pentium 2129Y,CPU,09/01/2012,22,10,118,1400,1100,Intel,Intel,,,
AMD Athlon 64 X2 5600+,CPU,12/12/2006,90,89,220,227,2800,Unknown,AMD,,,
AMD Athlon II X4 640,CPU,05/11/2010,45,95,169,300,3000,Unknown,AMD,,,
Intel Atom Z515,CPU,04/08/2009,45,1,26,47,1200,Intel,Intel,,,
AMD EPYC 7302,CPU,08/07/2019,7,155,74,3800,3000,TSMC,AMD,,,
Intel Celeron 3205U,CPU,03/01/2015,14,15,188.4404446,1929.922279,1500,Intel,Intel,,,
Intel Core i3-10305T,CPU,3/16/2021,14,35,188.4404446,1929.922279,3000,Intel,Intel,,,
AMD Ryzen 9 5900HX,CPU,01/12/2021,7,45,156,9800,3300,TSMC,AMD,,,
AMD EPYC 7502,CPU,08/07/2019,7,180,74,3800,2500,TSMC,AMD,,,
AMD Athlon 64 4000+,CPU,2/20/2007,90,62,230,227,2600,Unknown,AMD,,,
Intel Pentium III 1400S,CPU,01/08/2002,130,32,80,44,1400,Intel,Intel,,,
Intel Core i7-9850HE,CPU,NaT,14,45,149,1929.922279,2700,Intel,Intel,,,
AMD Mobile Athlon 64 3400+,CPU,08/01/2005,130,82,193,106,2200,Unknown,AMD,,,
Intel Xeon E5-2620 v2,CPU,09/01/2013,22,80,160,1400,2100,Intel,Intel,,,
Intel Core i9-10850K,CPU,7/27/2020,14,125,206,1929.922279,3600,Intel,Intel,,,
Intel Core i5-11600,CPU,3/16/2021,14,65,188.4404446,1929.922279,2800,Intel,Intel,,,
Intel Core i7-3555LE,CPU,06/03/2012,22,25,118,1929.922279,2500,Intel,Intel,,,
Intel Xeon E3-1220L v2,CPU,5/14/2012,22,17,188.4404446,1929.922279,2300,Intel,Intel,,,
Intel Core i3-8130U,CPU,2/13/2018,14,15,123,1929.922279,2400,Intel,Intel,,,
Intel Xeon Platinum 8260,CPU,12/11/2018,14,165,188.4404446,8000,2400,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,5/31/2005,90,67,156,154,2200,Unknown,AMD,,,
AMD Ryzen 9 5950X,CPU,11/05/2020,7,105,188.4404446,1929.922279,3400,TSMC,AMD,,,
Intel Atom N2600,CPU,12/01/2011,32,4,66,176,1600,Intel,Intel,,,
Intel Xeon Platinum 8352M,CPU,04/06/2021,10,185,188.4404446,1929.922279,2300,Intel,Intel,,,
AMD EPYC 7763,CPU,3/15/2021,7,280,188.4404446,1929.922279,2450,TSMC,AMD,,,
Intel Core i7-8809G,CPU,02/01/2018,14,65,188.4404446,1929.922279,3100,Intel,Intel,,,
AMD Ryzen Threadripper PRO 3955WX,CPU,7/14/2020,7,280,74,3800,3900,TSMC,AMD,,,
Intel Celeron 2980U,CPU,09/01/2013,22,15,118,1400,1600,Intel,Intel,,,
AMD Athlon 64 X2 4000+,CPU,5/23/2006,90,89,220,154,2000,Unknown,AMD,,,
Intel Xeon E5-2630L v2,CPU,09/01/2013,22,60,160,1400,2400,Intel,Intel,,,
Intel Core i5-3570,CPU,06/01/2012,22,77,133,1929.922279,3400,Intel,Intel,,,
AMD Ryzen 7 3750H,CPU,01/06/2019,12,35,210,4940,2300,GF,AMD,,,
Intel A110,CPU,06/01/2007,90,3,66,176,800,Intel,Intel,,,
AMD Ryzen 5 5500U,CPU,01/12/2021,7,25,156,9800,2100,TSMC,AMD,,,
Intel Core i9-10800F,CPU,4/30/2020,14,65,188.4404446,1929.922279,2700,Intel,Intel,,,
Intel Xeon MP 3.50,CPU,3/29/2005,90,135,188.4404446,1929.922279,3500,Intel,Intel,,,
Intel Core i3-10110U,CPU,8/21/2019,14,25,188.4404446,1929.922279,2100,Intel,Intel,,,
Intel Core i3-10305,CPU,3/16/2021,14,65,188.4404446,1929.922279,3800,Intel,Intel,,,
Intel Core Solo T1350,CPU,01/05/2006,65,27,90,151,1866,Intel,Intel,,,
AMD A4-5300B,CPU,10/02/2012,32,65,246,1178,3400,Unknown,AMD,,,
Intel Core Duo T2600,CPU,01/05/2006,65,31,90,151,2166,Intel,Intel,,,
Intel Pentium G4500,CPU,09/01/2015,14,51,150,1400,3500,Intel,Intel,,,
AMD A8-5600K,CPU,10/02/2012,32,100,246,1178,3600,Unknown,AMD,,,
AMD Athlon XP 2600+,CPU,10/01/2002,130,68,80,37,2133,Unknown,AMD,,,
AMD Athlon 64 3000+,CPU,12/15/2003,130,89,193,69,2000,Unknown,AMD,,,
Intel Pentium D 945,CPU,7/23/2006,65,95,140,376,3400,Intel,Intel,,,
Intel Celeron B800,CPU,6/19/2011,32,35,131,504,1500,Intel,Intel,,,
Intel Atom E665C,CPU,11/22/2010,45,4,26,47,1300,Intel,Intel,,,
AMD E1-2150,CPU,02/01/2014,32,9,246,1178,1050,Unknown,AMD,,,
Intel Core i5-10210U,CPU,8/21/2019,14,25,188.4404446,1929.922279,1600,Intel,Intel,,,
AMD Athlon Gold 3150G,CPU,7/21/2020,12,65,188.4404446,1929.922279,3500,GF,AMD,,,
Intel Celeron 2.70,CPU,9/24/2003,130,73,146,55,2700,Intel,Intel,,,
Intel Xeon Gold 5318N,CPU,04/06/2021,10,150,188.4404446,1929.922279,2100,Intel,Intel,,,
AMD Athlon 64 3500+,CPU,2/20/2007,90,62,230,227,2200,Unknown,AMD,,,
AMD Sempron 3400+ EE SFF,CPU,5/23/2006,90,35,103,81,1800,Unknown,AMD,,,
Intel Core i7-3525M,CPU,11/01/2012,22,35,160,1480,2900,Intel,Intel,,,
AMD A6-3410MX,CPU,6/14/2011,32,45,228,1178,1600,Unknown,AMD,,,
Intel Core i5-450M,CPU,9/26/2010,32,35,81,382,2400,Intel,Intel,,,
AMD Opteron A1150,CPU,1/14/2016,28,32,188.4404446,1929.922279,1700,Unknown,AMD,,,
Intel Pentium G3430,CPU,09/01/2013,22,54,177,1400,3300,Intel,Intel,,,
Intel Core i7-10610U,CPU,04/02/2020,14,25,188.4404446,1929.922279,1800,Intel,Intel,,,
Intel Core i5-4210U,CPU,4/14/2014,22,15,118,1400,1700,Intel,Intel,,,
Intel Core 2 Duo E6420,CPU,04/01/2007,65,65,111,167,2133,Intel,Intel,,,
AMD Athlon XP 1900+,CPU,11/05/2001,180,68,150,37,1600,Unknown,AMD,,,
Intel Pentium III 1400,CPU,12/01/2001,130,31,80,44,1400,Intel,Intel,,,
AMD Athlon 64 3000+,CPU,4/14/2005,130,62,188.4404446,105,1800,Unknown,AMD,,,
Intel Xeon E3-1290 v2,CPU,5/14/2012,22,87,160,1400,3700,Intel,Intel,,,
AMD Phenom X3 8550,CPU,4/23/2008,65,95,285,450,2200,Unknown,AMD,,,
Intel Core i5-8600K,CPU,10/05/2017,14,95,188.4404446,1929.922279,3600,Intel,Intel,,,
Intel Xeon Platinum 8356H,CPU,04/06/2021,14,190,188.4404446,1929.922279,3900,Intel,Intel,,,
AMD Athlon XP 2200+,CPU,06/10/2002,130,68,80,37,1800,Unknown,AMD,,,
AMD Athlon Silver PRO 3125GE,CPU,7/21/2020,12,35,188.4404446,1929.922279,3400,GF,AMD,,,
Intel Mobile Pentium 4 HT 538,CPU,06/01/2004,90,88,112,125,3200,Intel,Intel,,,
Intel Core i7-8700,CPU,01/01/2018,14,65,154,1929.922279,3200,Intel,Intel,,,
Intel Pentium Dual-Core E2220,CPU,03/02/2008,65,65,77,105,2400,Intel,Intel,,,
AMD Ryzen 5 4600U,CPU,01/06/2020,7,25,156,9800,2100,TSMC,AMD,,,
AMD Ryzen Threadripper 2970WX,CPU,10/02/2018,12,250,213,19200,3000,GF,AMD,,,
AMD Opteron X2 875 HE,CPU,02/01/2006,90,55,188.4404446,233,2200,Unknown,AMD,,,
Intel Atom Z605,CPU,05/04/2010,45,2,65,140,1000,Intel,Intel,,,
Intel Xeon Platinum 8351N,CPU,04/06/2021,10,225,188.4404446,1929.922279,2400,Intel,Intel,,,
Intel Atom N475,CPU,06/01/2010,45,7,66,123,1834,Intel,Intel,,,
Intel Core i5-3350P,CPU,09/03/2012,22,69,133,1929.922279,3100,Intel,Intel,,,
Intel Xeon E5-1660 v2,CPU,09/01/2013,22,130,160,1400,3700,Intel,Intel,,,
AMD Sempron 3300+,CPU,7/15/2005,90,62,188.4404446,69,2000,Unknown,AMD,,,
AMD Ryzen 5 PRO 2600,CPU,9/19/2018,12,65,192,4800,3400,GF,AMD,,,
AMD Phenom X4 9450e,CPU,10/01/2008,65,65,285,450,2100,Unknown,AMD,,,
AMD A4-3420,CPU,12/20/2011,32,65,228,1178,2800,Unknown,AMD,,,
Intel Pentium 4 1.80,CPU,8/27/2001,180,67,217,42,1800,Intel,Intel,,,
AMD Opteron 248,CPU,12/01/2004,90,85,188.4404446,106,2200,Unknown,AMD,,,
Intel Pentium 4 506,CPU,06/01/2005,90,84,109,125,2660,Intel,Intel,,,
Intel Core i7-3840QM,CPU,09/03/2012,22,45,160,1400,2800,Intel,Intel,,,
Intel Pentium 4 2.53,CPU,05/06/2002,130,110,146,55,2527,Intel,Intel,,,
Intel Mobile Pentium 4 2.40,CPU,06/11/2003,130,60,131,55,2400,Intel,Intel,,,
Intel Xeon Phi 7110P,CPU,11/12/2012,22,300,350,5000,1250,Intel,Intel,,,
Intel Core i3-7300,CPU,01/03/2017,14,51,188.4404446,1929.922279,4000,Intel,Intel,,,
Intel Core i7-3520M,CPU,06/03/2012,22,35,118,1929.922279,2900,Intel,Intel,,,
AMD Turion 64 MT-30,CPU,03/10/2005,90,22,125,114,1600,Unknown,AMD,,,
AMD Sempron LE-1300,CPU,10/08/2007,65,45,188.4404446,1929.922279,2300,Unknown,AMD,,,
Intel Atom Z625,CPU,05/04/2010,45,2,65,140,1900,Intel,Intel,,,
Intel Core i5-4200U,CPU,06/04/2013,22,15,118,1400,1600,Intel,Intel,,,
Intel Pentium E5700,CPU,08/08/2010,45,65,82,228,3000,Intel,Intel,,,
Intel Core i3-3110M,CPU,06/01/2012,22,35,118,1929.922279,2400,Intel,Intel,,,
Intel Pentium G3420T,CPU,09/01/2013,22,35,177,1400,2700,Intel,Intel,,,
AMD E1-1500,CPU,01/06/2013,40,18,75,1929.922279,1480,Unknown,AMD,,,
AMD A10-9700E,CPU,7/27/2017,28,35,246,1178,3000,Unknown,AMD,,,
Intel Pentium 4-M 2.00,CPU,6/24/2002,130,32,131,55,2000,Intel,Intel,,,
Intel Xeon E5620,CPU,3/16/2010,32,80,239,1170,2400,Intel,Intel,,,
Intel Core i3-3120M,CPU,9/30/2012,22,35,118,1929.922279,2500,Intel,Intel,,,
AMD Opteron 6274,CPU,11/14/2011,32,115,316,2400,2200,Unknown,AMD,,,
AMD Ryzen 7 1800X,CPU,03/02/2017,14,95,192,4800,3600,GF,AMD,,,
Intel Core i3-3120ME,CPU,08/01/2012,22,35,118,1929.922279,2400,Intel,Intel,,,
AMD Ryzen 3 3200U,CPU,01/06/2019,12,15,210,4940,2600,GF,AMD,,,
Intel Xeon E-2124G,CPU,5/31/2018,14,72,126,1400,3400,Intel,Intel,,,
AMD Athlon 700,CPU,06/05/2000,180,40,120,37,700,Unknown,AMD,,,
AMD Athlon 64 2700+,CPU,4/27/2004,130,32,144,69,1600,Unknown,AMD,,,
AMD Ryzen 7 2700X,CPU,4/19/2018,12,105,192,4800,3700,GF,AMD,,,
AMD Ryzen Embedded V1807B,CPU,2/21/2018,14,45,210,4950,3350,GF,AMD,,,
AMD Athlon II X3 415e,CPU,05/11/2010,45,45,169,300,2500,Unknown,AMD,,,
Intel Core i5-2310,CPU,5/22/2011,32,95,216,1160,2900,Intel,Intel,,,
AMD FX-8320,CPU,10/23/2012,32,125,315,1200,3500,Unknown,AMD,,,
Intel Core i7-10700K,CPU,4/30/2020,14,125,188.4404446,1929.922279,3800,Intel,Intel,,,
AMD Opteron 6386 SE,CPU,11/05/2012,32,140,315,2400,2800,Unknown,AMD,,,
AMD Opteron X2 875,CPU,9/26/2005,90,95,188.4404446,233,2200,Unknown,AMD,,,
Intel Celeron 877,CPU,07/01/2012,32,17,131,504,1400,Intel,Intel,,,
AMD Phenom II X6 1100T BE,CPU,12/07/2010,45,125,346,904,3300,Unknown,AMD,,,
Intel Core i3-5157U,CPU,03/01/2015,14,28,188.4404446,1929.922279,2500,Intel,Intel,,,
Intel Core i3-4130,CPU,09/01/2013,22,54,177,1400,3400,Intel,Intel,,,
Intel Core i7-3910K,CPU,7/24/2013,32,130,435,2270,3000,Intel,Intel,,,
Intel Core i7-3632QM,CPU,10/19/2012,22,35,160,1480,2200,Intel,Intel,,,
Intel Core i7-8670T,CPU,09/01/2018,14,35,188.4404446,1929.922279,2300,Intel,Intel,,,
AMD Opteron 144,CPU,08/02/2005,90,67,188.4404446,106,1800,Unknown,AMD,,,
Intel Core i7-5650U,CPU,03/01/2015,14,15,188.4404446,1929.922279,2200,Intel,Intel,,,
Intel Pentium 4 HT 515,CPU,01/01/2001,90,84,109,125,2933,Intel,Intel,,,
AMD Opteron 242,CPU,5/18/2004,130,82,193,106,1600,Unknown,AMD,,,
Intel Core i5-7600,CPU,01/03/2017,14,65,188.4404446,1929.922279,3500,Intel,Intel,,,
Intel Xeon 2.8,CPU,10/10/2005,90,135,213,200,2800,Intel,Intel,,,
Intel Core 2 Duo E7600,CPU,05/10/2009,45,65,82,228,3067,Intel,Intel,,,
Intel Core i7-9700K,CPU,10/19/2018,14,95,188.4404446,1929.922279,3600,Intel,Intel,,,
AMD Phenom II X4 910,CPU,02/09/2009,45,95,258,758,2600,Unknown,AMD,,,
AMD EPYC 73F3,CPU,3/15/2021,7,240,188.4404446,1929.922279,3500,TSMC,AMD,,,
AMD Sempron 2500+,CPU,7/28/2004,130,62,80,37,1750,Unknown,AMD,,,
Intel Pentium G3450,CPU,05/01/2014,22,54,177,1400,3300,Intel,Intel,,,
AMD EPYC 7601,CPU,6/29/2017,14,180,213,4800,2200,GF,AMD,,,
Intel Xeon E7-8860 v3,CPU,06/01/2015,22,140,160,1400,2200,Intel,Intel,,,
Intel Xeon 5140,CPU,6/26/2006,65,65,188.4404446,1929.922279,2333,Intel,Intel,,,
AMD Phenom X4 9850 BE,CPU,3/27/2008,65,125,285,450,2500,Unknown,AMD,,,
AMD Ryzen 3 3100,CPU,4/24/2020,7,65,74,3800,3600,TSMC,AMD,,,
Intel Core i7-4940MX,CPU,1/20/2014,22,57,177,1400,3100,Intel,Intel,,,
Intel Core 2 Quad Q6600 (105W),CPU,01/07/2007,65,105,143,582,2400,Intel,Intel,,,
AMD Athlon 64 FX-62,CPU,5/23/2006,90,125,220,243,2800,Unknown,AMD,,,
AMD Athlon X2 7750 BE,CPU,12/15/2008,65,95,285,450,2700,Unknown,AMD,,,
Intel Core i7-3740QM,CPU,09/03/2012,22,45,160,1400,2700,Intel,Intel,,,
Intel Core i3-4150T,CPU,05/01/2014,22,35,177,1400,2900,Intel,Intel,,,
Intel Atom N570,CPU,03/01/2011,45,9,87,176,1667,Intel,Intel,,,
Intel Core 2 Duo T7300,CPU,7/27/2006,65,35,143,293,2000,Intel,Intel,,,
Intel Atom E645C,CPU,11/22/2010,45,4,26,47,1000,Intel,Intel,,,
Intel Core i7-5820K,CPU,09/01/2014,22,140,356,2600,3300,Intel,Intel,,,
Intel Celeron E3400,CPU,1/17/2010,45,65,82,228,2600,Intel,Intel,,,
AMD FX-6120,CPU,10/23/2012,32,95,315,1200,3600,Unknown,AMD,,,
Intel Pentium G632,CPU,09/04/2011,32,65,131,504,2700,Intel,Intel,,,
Intel Pentium 4 HT 531,CPU,06/12/2005,90,84,109,125,3000,Intel,Intel,,,
